Ref,Val,Package,PosX,PosY,Rot,Side
"C1","470uF_16V_LOW_ESR","CP_Radial_D6.3mm_P2.50mm",49.000000,-28.000000,0.000000,top
"C2","100nF_25V","C_0805_2012Metric",56.000000,-30.000000,0.000000,top
"C3","1000uF_10V_LOW_ESR","CP_Radial_D8.0mm_P3.50mm",102.000000,-40.000000,0.000000,top
"C4","100nF_10V","C_0805_2012Metric",110.000000,-44.000000,0.000000,top
"C5","220uF_10V_RX","CP_Radial_D6.3mm_P2.50mm",88.000000,-58.000000,0.000000,top
"C6","100nF_RX","C_0805_2012Metric",96.000000,-58.000000,0.000000,top
"C7","1000uF_SERVO_LOCAL","CP_Radial_D8.0mm_P3.50mm",22.000000,-84.000000,0.000000,top
"C8","100nF_SERVO_LOCAL","C_0805_2012Metric",30.000000,-84.000000,0.000000,top
"D1","SMAJ15CA_TVS","D_SMA",63.000000,-28.000000,0.000000,top
"FB1","0R_OR_FERRITE","R_1206_3216Metric",82.000000,-58.000000,0.000000,top
"J1","XT30_BATTERY_IN_GNB4502S80AHV","AMASS_XT30UPB-M_1x02_P5.0mm_Vertical",16.000000,-8.000000,0.000000,top
"J2","REMOVABLE_LINK_OR_RATED_SWITCH","AMASS_XT30UPB-F_1x02_P5.0mm_Vertical",36.000000,-8.000000,0.000000,top
"J3","VISIBLE_POWER_LED_CURRENT_LIMITED","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",15.000000,-30.000000,90.000000,top
"J4","2S_BALANCE_SENSE_NO_CHARGE","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",28.000000,-30.000000,90.000000,top
"J10","MATEK_ELRS_R24_P6_PWM","PinHeader_1x08_P2.54mm_Vertical",98.000000,-68.000000,90.000000,top
"J11","R24_P6_VBAT_TELEMETRY_SENSE","PinHeader_1x02_P2.54mm_Vertical",40.000000,-30.000000,90.000000,top
"J20","WEKA_POWER_INPUT_XT30","AMASS_XT30UPB-F_1x02_P5.0mm_Vertical",58.000000,-8.000000,0.000000,top
"J21","WEKA_PWM_INPUTS_NAMED","PinHeader_1x04_P2.54mm_Vertical",74.000000,-42.000000,0.000000,top
"J23","MOTOR_FRONT_LEFT_POLOLU_3064","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",122.000000,-94.000000,180.000000,top
"J24","MOTOR_REAR_LEFT_POLOLU_3064","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",108.000000,-94.000000,180.000000,top
"J25","MOTOR_FRONT_RIGHT_POLOLU_3064","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",122.000000,-80.000000,180.000000,top
"J26","MOTOR_REAR_RIGHT_POLOLU_3064","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",108.000000,-80.000000,180.000000,top
"J30","SAVOX_SH0255MGP_FRONT_REAR_AXIS","PinHeader_1x03_P2.54mm_Vertical",16.000000,-96.000000,-90.000000,top
"J31","SAVOX_SH0255MGP_LEFT_RIGHT_AXIS","PinHeader_1x03_P2.54mm_Vertical",30.000000,-96.000000,-90.000000,top
"R1","1k_LED_LIMIT","R_0805_2012Metric",20.000000,-36.000000,0.000000,top
