### Footprint positions - created on 2026-05-09T16:33:43-0400 ###
### Printed by KiCad version 9.0.7+dfsg-1
## Unit = inches, Angle = deg.
## Side : All
# Ref     Val                           Package                                                PosX       PosY       Rot  Side
C1        470uF_16V_LOW_ESR             CP_Elec_6.3x7.7                                      1.2992    -0.9449    0.0000  top
C2        10uF_16V                      C_0805_2012Metric                                    1.6929    -1.1417    0.0000  top
C10       10uF_3V3_LOCAL                C_0805_2012Metric                                    2.8346    -2.0472    0.0000  top
C11       100nF_3V3_LOCAL               C_0805_2012Metric                                    2.9921    -2.0472    0.0000  top
C20       1000uF_10V_SERVO              CP_Elec_6.3x7.7                                      1.2205    -1.6535    0.0000  top
C21       100uF_10V                     CP_Elec_6.3x7.7                                      1.6929    -1.6535    0.0000  top
C22       10uF_10V                      C_0805_2012Metric                                    2.0866    -1.6535    0.0000  top
C23       22uF_RX                       C_0805_2012Metric                                    2.5197    -1.8504    0.0000  top
C30       47uF_6V3                      CP_Elec_6.3x7.7                                      1.2205    -2.5197    0.0000  top
C31       10uF_6V3                      C_0805_2012Metric                                    1.6535    -2.4803    0.0000  top
D1        SMBJ12CA_TVS                  D_SMA                                                1.7323    -0.8268   90.0000  top
D2        PWR_LED                       LED_0805_2012Metric                                  2.2047    -0.3150    0.0000  top
D50       STATUS_LED                    LED_0805_2012Metric                                  2.0866    -3.7795    0.0000  top
D51       STATUS_LED                    LED_0805_2012Metric                                  2.4409    -3.7795    0.0000  top
D52       STATUS_LED                    LED_0805_2012Metric                                  2.7953    -3.7795    0.0000  top
F1        PTC_500mA_AUX                 Fuse_1812_4532Metric                                 1.6142    -0.3937    0.0000  top
FB1       RX_6V_FILTER                  R_0805_2012Metric                                    2.2047    -1.8504    0.0000  top
J1        BATTERY_XT30                  AMASS_XT30UPB-F_1x02_P5.0mm_Vertical                 0.5118    -0.7480   90.0000  top
J2        REMOVE_LINK_VBAT              PinHeader_1x02_P2.54mm_Vertical                      1.1024    -0.4724  -90.0000  top
J10       MATEK_ELRS_R24_P6_PWM         PinHeader_1x08_P2.54mm_Vertical                      3.6220    -2.8346   90.0000  top
J11       CRSF_UART                     JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal     4.4882    -2.5197  180.0000  top
